City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
581,Sao Felix Do Xingu,BR,86.41,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
583,Sanchor,IN,83.43,overcast clouds,24.7553,71.7722,Hotel Amar Palace & AC Restaurant
585,Panama City,PA,79.18,overcast clouds,8.9936,-79.5197,Riande Urban Hotel
588,Calabozo,VE,82.62,broken clouds,8.9242,-67.4293,Hotel Giardini
589,Cururupu,BR,76.08,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
595,Doha,QA,89.53,few clouds,25.2867,51.5333,Movenpick Hotel Doha
597,Lamu,KE,76.01,broken clouds,-2.2717,40.902,Lamu House
598,Kadipur,IN,75.27,overcast clouds,26.1667,82.3833,Manoj Kumar
605,San Policarpo,PH,77.97,scattered clouds,12.1791,125.5072,Manong Aklan Resort
606,Makakilo City,US,82.69,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
614,Nanakuli,US,84.11,overcast clouds,21.3906,-158.1547,Camp Pālehua
621,Englehart,CA,75.45,clear sky,47.8169,-79.8664,"The Englehart Motel & Restaurant- Best Hotel & Motel in Englehart ,Ontario,Canada"
625,Pizarro,CO,81.19,broken clouds,4.9533,-77.366,Hotel Limonar
631,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
632,Samarai,PG,77.83,overcast clouds,-10.6167,150.6667,Nuli Sapi
635,Les Cayes,HT,84.2,overcast clouds,18.2,-73.75,Villa Orphee
636,Garowe,SO,77.11,overcast clouds,8.4054,48.4845,Curubo Hotel
637,Morgan City,US,86.0,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
640,Mayumba,GA,75.13,light rain,-3.432,10.6554,LIKWALE LODGE
648,Kolondieba,ML,75.09,broken clouds,11.0882,-6.8926,Hotel Dakan
652,Qui Nhon,VN,76.32,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
654,Barranco,PA,84.74,broken clouds,9.5167,-82.7,Casa doña Delfina Jiménez
656,Sakakah,SA,83.39,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
662,Kokopo,PG,81.57,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
663,Sitio Novo Do Tocantins,BR,88.79,broken clouds,-5.5183,-47.4611,Imperial Hotel
664,Esna,EG,80.98,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
665,Sur,OM,83.91,clear sky,22.5667,59.5289,Sur Plaza Hotel
668,Sompeta,IN,80.91,overcast clouds,18.9333,84.6,Netaji's Home
669,La Macarena,CO,79.23,broken clouds,2.1837,-73.7849,Hotel Punto Verde
673,Bontang,ID,76.26,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
678,Matay,EG,78.51,clear sky,28.419,30.7792,Nag Aespen
685,Dong Hoi,VN,77.63,scattered clouds,17.4833,106.6,Nam Long Hotel
687,Locri,IT,82.99,broken clouds,38.2414,16.2623,Grand Hotel President
691,Hermiston,US,83.1,overcast clouds,45.8404,-119.2895,Oxford Suites Hermiston
692,Gat,IL,75.81,clear sky,31.61,34.7642,OlusHome
694,Mizdah,LY,75.83,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
695,Toma,BF,79.59,scattered clouds,12.7667,-2.8833,Auberge de l'amitié
696,Chenzhou,CN,75.7,scattered clouds,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
698,Kattivakkam,IN,82.49,overcast clouds,13.2167,80.3167,Euronova Freezer
700,Kongoussi,BF,83.73,broken clouds,13.3258,-1.5347,Hôtel La Sagesse
702,Waddan,LY,79.34,clear sky,29.1614,16.139,محل الشريف محمد العايب
