City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
369,Bilma,NE,18.6853,12.9164,91.62,15,0,9.24,clear sky
370,Jabinyanah,TN,35.035,10.9081,81.57,65,26,12.35,scattered clouds
371,Tessalit,ML,20.1986,1.0114,93.25,15,4,2.8,clear sky
372,Saldanha,ZA,-33.0117,17.9442,57.97,62,0,17.52,clear sky
373,Gravdal,NO,68.1214,13.5031,50.27,82,100,12.46,overcast clouds
374,Port Hedland,AU,-20.3167,118.5667,70.45,39,0,16.35,clear sky
375,The Valley,AI,18.217,-63.0578,83.82,75,4,13.8,clear sky
376,Severomuysk,RU,56.1481,113.4267,26.11,69,63,2.95,broken clouds
377,Severo-Yeniseyskiy,RU,60.3725,93.0408,41.11,96,100,5.39,overcast clouds
378,Aquiraz,BR,-3.9014,-38.3911,80.19,82,1,11.97,clear sky
379,Bainbridge,US,47.6262,-122.5212,61.48,79,100,1.01,light rain
380,Sembakung,ID,3.8167,117.25,73.13,99,100,1.81,overcast clouds
381,Shubarshi,KZ,48.5872,57.1869,44.02,61,0,7.56,clear sky
382,Koslan,RU,63.4564,48.8989,36.9,93,45,9.01,scattered clouds
383,Bulawayo,ZW,-20.15,28.5833,55.85,85,97,17.83,overcast clouds
384,Feltre,IT,46.0235,11.907,67.59,92,90,2.51,overcast clouds
385,Akhtanizovskaya,RU,45.32,37.1,64.4,59,49,2.28,scattered clouds
386,Bandarbeyla,SO,9.4942,50.8122,77.72,84,73,20.76,broken clouds
387,San Pedro,PH,14.35,121.0167,81.1,84,91,6.22,overcast clouds
388,Taoudenni,ML,22.6783,-3.9836,97.25,23,91,13.09,overcast clouds
389,Tacuarembo,UY,-31.7333,-55.9833,59.97,92,1,7.78,clear sky
390,Melnikovo,RU,56.5558,84.085,54.16,95,100,7.65,moderate rain
391,Sandomierz,PL,50.6827,21.749,58.66,95,100,1.01,overcast clouds
392,Havelock,US,34.8791,-76.9013,78.98,94,78,6.62,broken clouds
393,Necochea,AR,-38.5473,-58.7368,66.04,76,1,10.42,clear sky
394,Ormara,PK,25.2088,64.6357,80.8,84,0,5.35,clear sky
395,Yerbogachen,RU,61.2767,108.0108,35.53,75,100,2.39,overcast clouds
396,Ambad,IN,19.6167,75.8,72.75,87,100,5.12,overcast clouds
397,San Vicente,AR,-26.6167,-54.1333,65.59,96,92,4.54,overcast clouds
398,Senno,RU,59.5336,33.9167,41.43,82,100,3.42,overcast clouds
399,Acapulco,MX,16.8634,-99.8901,82.81,78,99,2.51,overcast clouds
400,Camopi,GF,3.1655,-52.3158,72.73,98,85,4.07,moderate rain
401,Solnechnyy,RU,50.7214,136.6319,52.18,92,96,2.19,overcast clouds
402,Labrea,BR,-7.2586,-64.7981,84.06,54,100,3.78,heavy intensity rain
403,Gewane,ET,10.1664,40.6453,87.39,30,1,4.36,clear sky
404,Avera,US,33.194,-82.5271,84.7,57,63,6.78,broken clouds
405,Jalu,LY,29.0331,21.5482,80.83,28,0,7.87,clear sky
406,Yinchuan,CN,38.4681,106.2731,66.88,48,100,4.36,overcast clouds
407,Taunggyi,MM,20.7833,97.0333,63.23,97,100,2.17,light rain
408,Banda Aceh,ID,5.5577,95.3222,77.86,88,31,7.63,scattered clouds
409,Kalabo,ZM,-14.97,22.6814,76.01,20,96,6.44,overcast clouds
410,Pisco,PE,-13.7,-76.2167,65.01,81,56,4.72,broken clouds
411,Kautokeino,NO,69.0125,23.0412,38.16,87,96,15.28,overcast clouds
412,Paamiut,GL,61.994,-49.6678,36.95,82,34,8.34,scattered clouds
413,Dalbandin,PK,28.8947,64.4101,79.97,9,0,1.34,clear sky
414,Mecca,SA,21.4267,39.8261,83.97,43,56,4.03,broken clouds
415,Camacupa,AO,-12.0167,17.4833,77.67,28,69,3.36,broken clouds
416,Juba,SS,4.8517,31.5825,70.48,93,100,3.91,overcast clouds
417,Ojinaga,MX,29.5667,-104.4167,102.42,15,2,1.05,clear sky
418,General Teran,MX,25.2667,-99.6833,94.71,37,23,8.57,few clouds
419,Kovdor,RU,67.5662,30.4758,40.05,69,100,3.24,overcast clouds
420,Kieta,PG,-6.2167,155.6333,83.25,71,83,4.9,light rain
421,Ventanas,EC,-1.45,-79.4667,86.43,59,61,3.36,broken clouds
422,Manuk Mangkaw,PH,4.8,119.85,82.22,71,100,2.3,overcast clouds
